Object ID,Object Name,Title,Culture,Medium,Link Resource,Link Image
38533,figure,,India,Stone,http://www.metmuseum.org/art/collection/search/38533,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38533/main-image
38646,figure,,Tibet,Gilt copper,http://www.metmuseum.org/art/collection/search/38646,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38646/main-image
38647,headless figure,,Indonesia (Java),Andesite,http://www.metmuseum.org/art/collection/search/38647,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38647/main-image
38703,figure,,Pakistan (ancient region of Gandhara) or India (Jammu & Kashmir),Phyllitic grey schist,http://www.metmuseum.org/art/collection/search/38703,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38703/main-image
38788,figure,,Pakistan (ancient region of Gandhara),Schist,http://www.metmuseum.org/art/collection/search/38788,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38788/main-image
38820,figure,,Pakistan (ancient region of Gandhara),Schist,http://www.metmuseum.org/art/collection/search/38820,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38820/main-image
38827,figurine,,Tibet,Unglazed pottery,http://www.metmuseum.org/art/collection/search/38827,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38827/main-image
38828,figurine,,Tibet,Unglazed pottery,http://www.metmuseum.org/art/collection/search/38828,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38828/main-image
38830,figurine,,Tibet,Unglazed pottery,http://www.metmuseum.org/art/collection/search/38830,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38830/main-image
38831,figurine,,Tibet,Unglazed pottery,http://www.metmuseum.org/art/collection/search/38831,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38831/main-image
38920,figurine,,Thailand,Gold,http://www.metmuseum.org/art/collection/search/38920,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38920/main-image
38932,figurine,,India,Bronze,http://www.metmuseum.org/art/collection/search/38932,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38932/main-image
38934,figurine,,"India, Bihar","Bronze with silver inlay
",http://www.metmuseum.org/art/collection/search/38934,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38934/main-image
38937,figure,,India (Bihar),Bronze with silver and copper inlay,http://www.metmuseum.org/art/collection/search/38937,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38937/main-image
38938,figurine,,India (Kurkihar),Bronze,http://www.metmuseum.org/art/collection/search/38938,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38938/main-image
38939,figure,,India (Bengal) or Bangladesh,Gilt bronze,http://www.metmuseum.org/art/collection/search/38939,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38939/main-image
38940,figure,,Bangladesh (probably Comilla District),Bronze,http://www.metmuseum.org/art/collection/search/38940,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38940/main-image
38948,figurine,,Cambodia or Thailand,Bronze,http://www.metmuseum.org/art/collection/search/38948,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38948/main-image
38949,figure,,Northeastern Thailand,Copper alloy with tin,http://www.metmuseum.org/art/collection/search/38949,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38949/main-image
38950,figure,,Northeastern Thailand,Copper alloy inlaid with silver and glass or obsidian,http://www.metmuseum.org/art/collection/search/38950,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38950/main-image
